Stimulus,Felt,Straw,Wax Paper,Cork,Tile,Cardboard,Eraser,Styrofoam,Brick,Plastic,Scouring Pad,Wood,Sponge,Sandpaper,Leather,Velvet,Bark
Felt,1,,,,,,,,,,,,,,,,
Straw,0,1,,,,,,,,,,,,,,,
Wax Paper,0.05,0,1,,,,,,,,,,,,,,
Cork,0.1,0.05,0.3,1,,,,,,,,,,,,,
Tile,0.05,0,0.6,0.55,1,,,,,,,,,,,,
Cardboard,0.05,0,0.6,0.6,0.95,1,,,,,,,,,,,
Eraser,0,0,0.8,0.35,0.8,0.75,1,,,,,,,,,,
Styrofoam,0.05,0.05,0.5,0.55,0.45,0.45,0.5,1,,,,,,,,,
Brick,0.1,0,0.05,0.05,0.05,0.05,0.05,0,1,,,,,,,,
Plastic,0,0,0.55,0.1,0.3,0.3,0.45,0.35,0.05,1,,,,,,,
Scouring Pad,0.1,0,0,0,0,0,0,0,0.15,0,1,,,,,,
Wood,0,0,0.6,0.55,0.6,0.6,0.6,0.8,0,0.5,0.05,1,,,,,
Sponge,0.1,0.05,0,0,0,0,0,0,0.4,0,0.45,0,1,,,,
Sandpaper,0.05,0,0,0.1,0.05,0.05,0,0,0.5,0,0.1,0,0.35,1,,,
Leather,0,0,0.6,0.5,0.7,0.75,0.7,0.65,0,0.5,0,0.8,0,0,1,,
Velvet,0.6,0,0.25,0.1,0.2,0.2,0.2,0.1,0.05,0.2,0,0.15,0.05,0.05,0.1,1,
Bark,0.05,0.2,0,0,0,0,0,0,0.6,0,0.3,0,0.6,0.3,0,0,1
